lon,lat,start_date,end_date,source,crop_probability,num_labelers,subset,country
-0.166017495138,11.161903923746,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
-0.163856380947,11.163925905434,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.15702497662,11.136826215839,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
-0.155683451678,11.159339899554,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,validation,Togo
-0.155525161003,11.136066814782,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
-0.154908337068,11.136198047142,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.154001405514,11.13658379088,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.142174928283,11.127014567186,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
-0.139217990231,11.133168260903,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,validation,Togo
-0.132295287133,11.125921514144,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
-0.130442463494,11.13080023525,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
-0.129834801133,11.130126260821,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
-0.119111432193,11.10014710505,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,validation,Togo
-0.113144242937,11.098401691399,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,validation,Togo
-0.110400797721,11.066677384586,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
-0.108659137193,11.065232202604,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
-0.107108529177,11.118042010262,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
-0.107014340124,11.068770068538,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.105895340781,11.115678907694,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,validation,Togo
-0.104232484661,11.118102402413,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
-0.103842973412,11.067592529192,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.103741486584,11.117578255288,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
-0.103476885952,11.094060217073,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
-0.102244224078,11.112486889585,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
-0.100891019224,11.065880045574,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.100356303202,11.112538441153,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
-0.097185198906,10.739765888371,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
-0.09645135403,10.742286272481,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.096282744605,10.756754015687,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,validation,Togo
-0.096131852366,10.73769146475,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
-0.095764063829,10.740411006553,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.093870547712,10.740388934549,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.093128730544,10.736532857939,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
-0.093056213062,10.741461214409,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.090778981804,10.754435844133,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.090213188668,10.75590071472,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,validation,Togo
-0.089284516445,10.755781453446,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.088518700174,10.757067669073,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.087459623655,10.742606532041,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
-0.073634072622,11.131819956708,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.07350912525,11.124696609373,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
-0.07222928765,11.123111392236,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.067654249322,11.11832192748,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
-0.051642498441,10.893120773111,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.051202037947,10.892747290212,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.051160335844,10.893548376906,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.050714305089,10.644655029549,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
-0.050067016597,10.876297057297,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.049825125454,10.875141103478,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.048532922698,10.871357165347,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
-0.048521752636,10.871377845839,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.047776896916,10.648472124209,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.047410457364,10.892889190448,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.046949498085,10.645572277165,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.046139333619,10.645363401678,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,validation,Togo
-0.045654035745,10.888729554849,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.045476493895,11.115528230952,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.045054746787,10.65371604543,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.04459651754,10.894714303948,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.043823980957,10.894314774083,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,validation,Togo
-0.042968867877,10.653501201347,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.037610269807,11.112686142518,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.025763348269,10.873277462788,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
-0.022721302189,10.735797655116,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
-0.022009881441,10.884644806635,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
-0.021787386791,10.736204797601,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,validation,Togo
-0.020105830164,10.675743687078,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
-0.018868098956,10.674336111715,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,validation,Togo
-0.018297148258,10.672922208554,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.017767437102,10.673692987487,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.016852693875,10.893103158236,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
-0.016487839558,10.893419149574,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,validation,Togo
-0.015666489924,10.67499428169,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
-0.013295053805,10.891143171869,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
-0.012607831139,10.870678945355,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
-0.01234146711,10.8941142805,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.012202096191,10.894545486304,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,validation,Togo
-0.011731247607,10.740341426696,2019-04-22,2020-04-16,"random_sample_hrk,random_sample_cn,BB_random_sample_1k,random_sample_bm",1.0,4,testing,Togo
-0.011635474895,10.74162857129,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.01140464547,10.741660059451,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,validation,Togo
-0.01113540542,10.740302541732,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.010798281639,10.739331408197,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,validation,Togo
-0.010581555889,10.742305568283,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,validation,Togo
-0.010394831558,10.87434658854,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
-0.010255488407,10.738998362795,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.010129995346,10.737990153818,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,validation,Togo
-0.010093896179,10.887207249288,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
-0.010003392271,10.738799431936,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,validation,Togo
-0.009706979153,10.74146606038,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.009556959364,10.8872984836,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.009419372763,10.740631565314,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.009277078779,10.741082823419,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.009231606663,10.886782258727,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.009096481036,10.740730790695,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.008687129403,10.740869799818,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.008026340439,10.740142887814,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.008018948124,10.740534250729,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,validation,Togo
-0.007495228134,10.877389338248,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
-0.005825420812,10.874244015488,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,validation,Togo
-0.005131261906,10.877982207613,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
-0.005124383903,10.878409033053,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
-0.003446553395,10.873605252359,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,validation,Togo
-0.002466393726,10.87607629971,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,validation,Togo
-0.002255178681,10.875367125097,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
-0.002115695807,10.874696615128,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
-0.001314021425,10.873969464725,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,validation,Togo
-0.000561577897,10.872728205158,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
-0.000158374097,10.872662906762,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
0.000415514263,10.872677097078,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
0.0008666951,10.850391215616,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
0.001444890958,10.897674698013,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,validation,Togo
0.001680977924,10.844716876899,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,validation,Togo
0.003029895274,10.84586714885,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,validation,Togo
0.003213793797,10.846435210019,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,validation,Togo
0.00338275228,10.851302808867,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
0.003433856986,10.898171220289,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,validation,Togo
0.007355313153,10.780308231776,2019-04-22,2020-04-16,"random_sample_hrk,random_sample_cn,BB_random_sample_1k,random_sample_bm",0.0,4,testing,Togo
0.008172526852,10.888677356629,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,validation,Togo
0.009280646094,10.889688982323,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,training,Togo
0.010734558889,10.894688522538,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,validation,Togo
0.011153224978,10.888173683501,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
0.01156748862,10.890166349539,2019-04-22,2020-04-16,crop_merged_v2,1.0,1,validation,Togo
0.011799968025,10.888539297424,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,validation,Togo
0.012599344816,10.888254717408,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
0.012781578425,10.890637208246,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
0.013026205504,10.891530735576,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
0.014823116057,10.888042317245,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
0.016037691052,10.888414360639,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
0.027289250041,10.841654525621,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
0.028179766551,10.837920793365,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
0.028321449104,10.840325156357,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
0.029127464722,10.842342110023,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
0.02937193896,10.843481928307,2019-04-22,2020-04-16,noncrop_merged_v2,0.0,1,training,Togo
